source sentence, target sentence
vous tes trop bruyant. , you re too loud.
il crit une longue lettre. , he s writing a long letter.
je suis tr s s rieux. , i m quite serious.
je ne suis pas occup pour le moment. , i m not busy right now.
elle est m re c libataire. , she s a single mother.
j conomise pour ma vieillesse. , i m saving money for my old age.
je suis fatigu de ce temps chaud. , i m sick of this hot weather.
tu es astucieux. , you re crafty.
je suis tr s surprise de voir a. , i m very surprised to see that.
vous tes cens faire cela. , you re supposed to do that.
vous tes trop poli. , you re too polite.
je suis impulsif. , i m impulsive.
je suis enfant unique. , i am an only child.
tu es plus grand qu elle. , you are taller than she is.
j ai dix huit ans. , i m eighteen.
tu es avec des amis. , you re with friends.
je suis plus petit que vous. , i am shorter than you.
je suppose que vous disposez d un plan. , i m assuming you have a plan.
je ne suis pas d humeur. , i m not in the mood.
je meurs de faim! , i m starved.
je te laisse partir. , i m letting you go.
je ne suis pas encore mari e. , i m not married yet.
je suis dans le p trin. , i am in trouble.
elle est bonne en natation. , she is good at swimming.
vous tes tr s timide. , you re very timid.
tu es celui qui m a form e. , you re the one who trained me.
je suis si heureux pour toi tom. , i m so happy for you tom.
vous tes en grand danger. , you re in grave danger.
je vais d sormais me taire. , i m going to shut up now.
vous tes tous contents. , you re all happy.
tu es tellement belle dans cette robe! , you re so beautiful in that dress.
vous n tes pas mortes. , you re not dead.
il se moque juste de toi. , he s just kidding you.
tu es hors service. , you re out of order.
je me porte volontaire. , i m volunteering.
il est susceptible d oublier sa promesse. , he is apt to forget his promise.
il creuse sa propre tombe. , he is digging his own grave.
je fais partie du service des ventes. , i m a member of the sales department.
il a trente ans. , he is thirty years old.
c est un menteur notoire. , he s a notorious liar.
tu es difficile pas vrai? , you re picky aren t you?
je fais preuve de bon sens. , i m being sensible.
je suis en train de faire mes devoirs. , i am doing my homework.
je suis libre demain. , i am off duty tomorrow.
vous tes important. , you are important.
tu es d u n est ce pas? , you re disappointed aren t you?
je ne fais que penser haute voix. , i m just thinking out loud.
j ai bien peur que non. , i m afraid not.
tu es tr s ind licat. , you are very insensitive.
tu es trop jeune pour voyager seul. , you are too young to travel alone.
je suis plus vif que vous. , i m smarter than you.
je suis horrible avec les gamins. , i m horrible with kids.
je b ille parce que j ai sommeil. , i am yawning because i feel sleepy.
je me r jouis de vous contenter. , i m glad i make you happy.
je ne rougis pas! , i m not blushing!
je descends du bus ici. , i m getting off the bus here.
vous n tes pas contrari e si? , you re not upset are you?
elle est obstin e. , she is obstinate.
je travaille sur une nouvelle id e. , i m working on a new idea.
tu es responsable de ce que tu fais. , you are responsible for what you do.
c est un champion de tennis. , he is a tennis champion.
je suis ravi de vous voir. , i m pleased to see you.
vous tes un monstre. , you re a monster.
j ai vraiment besoin de ton aide. , i am badly in need of your help.
il fait les pr paratifs pour un voyage. , he is making preparations for a trip.
je suis maintenant dans une position d licate. , i m now in a delicate position.
il n enfreint pas la loi. , he s not breaking the law.
elle joue monopoly. , she s playing monopoly.
vous tes dures. , you re tough.
je fais du mieux que je peux. , i m doing the best i can.
tu es tr s compr hensive. , you re very understanding.
je suis pour toujours votre d biteur. , i am forever in your debt.
j ai peur qu il pleuve. , i m afraid it will rain.
je ne travaille pas pour tom. , i m not working for tom.
je suis content de mon travail. , i m satisfied with my work.
je tire. , i m shooting.
je ne supporte plus ce temps chaud. , i m sick of this hot weather.
elle trouve toujours redire aux autres. , she is always finding fault with other people.
elle porte un chapeau sympa. , she s wearing a cool hat.
tu es encore jeune. , you re still young.
je suis habitu ce temps froid. , i m used to this cold weather.
tu n es plus un enfant. , you are not a child anymore.
elle est paralys e des deux jambes. , she is paralyzed in both legs.
il aime beaucoup la musique. , he is very fond of music.
vous tes un horrible individu. , you re a terrible person.
il fume plus que jamais. , he s smoking more than ever.
je suis le tueur. , i m the killer.
elle dit qu elle tait heureuse. , she said that she was happy.
vous n tes pas invit s. , you aren t invited.
vous tes un affreux chanteur. , you re a horrible singer.
j ai l g rement faim. , i m slightly hungry.
c est un rousp teur. , he s a grouch.
je connais bien ce sujet. , i am familiar with this subject.
je suis tr s heureux de te voir. , i m very happy to see you.
tu n es pas fatigu e si? , you re not tired are you?
tu es une v ritable amie. , you re a true friend.
il fait du patin. , he is skating.
vous tes surmen. , you re overworked.
je ne vais nulle part. , i m not going anywhere.
tu es snob. , you re a snob.
vous tes toutes pareilles. , you re all the same.
elle est belle comme toujours. , she is as beautiful as ever.
vous tes tr s courageuses. , you are very brave.
je suis plus petit que lui. , i m shorter than him.
je ne suis pas habitu un tel traitement. , i m not accustomed to such treatment.
je suis nerveux et excit. , i m nervous and excited.
tu es prudente. , you re careful.
tu d ranges tout le quartier. , you re disturbing the whole neighborhood.
je suis impatient de voir ton p re. , i m looking forward to seeing your father.
c est une tr s belle dame. , she is a most beautiful lady.
je m en r jouis d avance. , i m looking forward to that.
il attend l arr t de bus. , he s waiting at the bus stop.
il fait une promenade. , he is taking a walk.
je me brosse les dents. , i am brushing my teeth.
tu n es pas aussi maligne que moi. , you re not as smart as me.
je ne suis certainement pas ton ami. , i m certainly not your friend.
je cr ve la dalle. , i am very hungry.
je suis ici pour couter. , i m here to listen.
elle s inqui te pour ses examens. , she s worrying about her exams.
elle est aussi jolie que sa s ur. , she s as pretty as her sister.
vous n tes pas un saint. , you re no saint.
tu es puis e. , you re exhausted.
il est vraiment lourd. , he is thick as a brick.
je ne suis pas heureux ici. , i m not happy here.
je ne suis pas occup aujourd hui. , i m not busy today.
je ne vais pas faire demi tour. , i m not turning back.
je ne suis pas l aise. , i m not comfortable.
j ai la fringale. , i m starving.
vous tes curieuse n est ce pas? , you are curious aren t you?
je ne vais pas abandonner ceci. , i m not giving this up.
vous tes bonnes. , you re good.
c est une chanteuse pas banale. , she is no ordinary singer.
tu es tr s ind licate. , you are very insensitive.
vous abusez de votre autorit. , you are abusing your authority.
je suis fermier. , i m a farmer.
vous tes aveugl es par l amour. , you are blinded by love.
je ne parle pas de tom. , i m not talking about tom.
il est toujours assis sur le banc. , he is still sitting on the bench.
je vais prendre ma voiture. , i m going to take my car.
je pars. , i m going.
je suis dans le p trin. , i am in a spot.
je cherche une bijouterie. , i am looking for a jewelry store.
je vais dormir. , i m going to sleep.
j en ai marre de ce temps humide. , i m fed up with this wet weather.
vous n tes pas facile trouver. , you re not easy to find.
je suis repu! , i m full.
c est mon nouvel ami. , he s my new friend.
tu es ici en s curit. , you re safe here.
il est go ste et cupide. , he is selfish and greedy.
il est sociable. , he is outgoing.
je suis content de ma nouvelle veste. , i m pleased with my new jacket.
tu es malade! , you re sick!
je n entrerai pas en comp tition. , i m not going to compete.
il est toujours court de liquide. , he s always running short of cash.
tu ne coop res pas. , you re not cooperating.
je d gouline de sueur. , i m dripping with sweat.
je suis contente que a vous rende heureux. , i m glad that makes you happy.
vous tes mignon dans votre genre. , you re kind of cute.
je suis relativement s r. , i am pretty sure.
il est docteur et professeur d universit. , he is a doctor and a university professor.
je suis tr s content. , i am very pleased.
vous tes jolie. , you re pretty.
je vais bien et vous? , i m fine. how about you?
je suis d prim. , i m depressed.
je suis juste un simple instituteur. , i am just a humble teacher.
tu es un peu en retard. , you re a little late.
vous n tes pas la premi re. , you re not the first.
il est en train de lire un livre. , he is reading a book.
tu es enseignante. , you are a teacher.
je ne suis pas autoris e vous aider. , i m not allowed to help you.
tu ne dois pas quitter cette pi ce. , you are not to leave this room.
je suis votre ami. , i m your friend.
je suis d sol d tre en retard. , i m sorry i m so late.
elle est occup e par son travail. , she s busy with her work.
il n est pas honn te du tout. , he is not honest at all.
vous tes mon seul v ritable ami. , you re my only real friend.
elle est non seulement intelligente mais aussi jolie. , she is not only intelligent but beautiful.
j ai une faim de loup. , i m very hungry.
c est un acteur. , he is an actor.
je suis pr t quitter cet endroit. , i m ready to leave this place.
vous n tes pas invit e. , you aren t invited.
vous convenez au poste. , you are suitable for the job.
elle parle bien anglais. , she is a good english speaker.
je suis vraiment occup e l instant. , i m really busy right now.
je ne suis pas assez vieille. , i m not old enough.
elle est famili re du sujet. , she is familiar with the subject.
je ne d mens pas cela. , i m not denying that.
on peut compter sur elle. , she is a reliable person.
je suis int ress par l histoire japonaise. , i m interested in japanese history.
je suis tonn de vous voir. , i m surprised to see you.
c est un tenancier de bar. , he s a bartender.
je viens de france. , i am from france.
c est moi le patron ici. , i am in charge here.
il est comme mort. , he is as good as dead.
c est bien. , i m glad to hear that.
il est vraiment beau. , he s really good looking.
je ne suis pas un robot. , i m not a robot.
je suis content que tu sois en avance. , i m glad you re early.
je suis tout ou e. , i am all ears.
je ne suis pas endormie. , i m not asleep.
il est anglais. , he s an englishman.
je vais chez le dentiste demain. , i am going to see the dentist tomorrow.
je travaille ici. , i m working here.
vous n tes pas aussi petits que moi. , you aren t as short as i am.
j en crois pas mes yeux. , i m in way over my head.
on est jamais trop vieux pour apprendre. , you re never too old to learn.
il est mari et a deux enfants. , he is married with two children.
il est ivre. , he is drunk.
vous n tes pas autoris s stationner l. , you aren t allowed to park there.
tu es ma fiert et ma joie. , you are my pride and joy.
je suis timide. , i m shy.
il est d j parti. , he s already left.
tu es au courant de quelque chose. , you re on to something.
il est impatient de lire le livre. , he is anxious to read the book.
j ai peur de devoir partir maintenant. , i am afraid i must be going now.
il a des soucis. , he is in trouble.
je commence peine. , i m just beginning.
je me mets t appr cier. , i m starting to like you.
je ne t en emp che pas. , i m not stopping you.
je suis canadienne. , i m canadian.
j en ai marre de cet endroit. , i m sick of this place.
c est un esprit ind pendant. , she s an independent thinker.
tu ne portes aucun pantalon. , you re not wearing any pants.
vous tes tr s g n reux. , you re very generous.
je suis prudente. , i m careful.
il est tout sauf un gentleman. , he is anything but a gentleman.
tu es impatiente. , you re impatient.
tu es pleine de talent. , you re very talented.
je connais bien tom. , i m well acquainted with tom.
je ne suis pas vraiment en col re. , i m not really angry.
je ne suis pas une menteuse. , i m not a liar.
il est habitu au travail. , he is accustomed to the work.
tu n es pas si vieux. , you re not that old.
elle ne fait pas le poids avec moi. , she is no match for me.
elle est en relation avec cette soci t. , she is connected with that company.
je travaille trop. , i m working too much.
tu es en meilleure forme que moi. , you re in better shape than i am.
c est leur unique enfant. , he s their only child.
je ne suis pas impressionn e. , i m not impressed.
je suis un puriste. , i m a purist.
c est vous l instituteur. , you re the teacher.
vous tes le meilleur. , you re the greatest.
vous tes ma princesse. , you re my princess.
il n est pas s rieux. , he s not serious.
c est d j un homme. , he s already a man.
c est un citoyen respectueux des lois. , he s a law abiding citizen.
vous tes tr s grandes. , you re very tall.
il est trop timide pour parler aux filles. , he is too shy to talk to girls.
il est en bonne condition physique. , he is in good physical condition.
il est originaire de g orgie. , he s from georgia.
il souffre. , he s in pain.
je suis sensible. , i m sensitive.
il est tardivement arriv maturit. , he s a late bloomer.
vous n tes pas autoris vous garer ici. , you re not allowed to park here.
il est toujours chez lui le lundi. , he s always at home on mondays.
je suis d sol pour ce malentendu. , i m sorry about my mistake.
je vais prendre ceci. , i m going to take this.
elle est jalouse de ma r ussite. , she is envious of my success.
tu es fou. , you re demented.
elle s est vue dans le miroir. , she saw herself in the mirror.
tu es fort en col re. , you re very angry.
je ne suis pas intimid. , i m not intimidated.
il est mon genre! , he is my type!
je m en occupe. , i m taking care of it.
vous n tes pas normaux. , you re not normal.
je suis bon en sciences. , i m good at science.
vous tes insensible. , you re callous.
on ne m autorise pas partir. , i m not allowed to leave.
vous tes une femme tr s s duisante. , you re a very attractive woman.
tu es apr s moi. , you re after me.
c est un joueur inv t r. , he is a compulsive gambler.
tu ne vas pas te mettre pleurer si? , you aren t going to cry are you?
il parle vite. , he is a fast speaker.
tu es fiable. , you re reliable.
tu es un binoclard. , you re a nerd.
je ne suis pas sourd. , i m not deaf.
vous tes bon. , you re good.
j ai d croch. , i m clean.
il est sensible la critique. , he is sensitive to criticism.
je vais solliciter une bourse. , i m going to apply for a scholarship.
je suis affol e. , i m frantic.
je ne sors pas. , i m not going outside.
elle a dit qu elle tait heureuse. , she said that she was happy.
vous tes tr s sceptique. , you re very skeptical.
c est un marcheur rapide. , he s a fast walker.
tu es suppos ne pas fumer l cole. , you are not supposed to smoke at school.
je suis tonn par ton audace. , i am amazed at your audacity.
elle est nouveau elle m me. , she is herself again.
il est capable de trahison. , he is capable of treachery.
je suis assez bonne tudiante. , i m a pretty good student.
je suis compl tement saoul. , i m totally drunk.
elle sembla indiff rente. , she seemed uninterested.
vous vous contredisez. , you re contradicting yourself.
tu es fort astucieux. , you re very astute.
il est plein de nouvelles id es. , he is full of new ideas.
elle se plaint toujours de son travail. , she is always complaining of her job.
tu fais la bonne chose. , you re doing the right thing.
je suis seul au monde. , i m alone in the world.
vous tes tatillonnes. , you re finicky.
vous tes responsable de ce que vous faites. , you are responsible for what you do.
je suis papa. , i m a father.
je ne suis pas un bon p cheur. , i m not good at fishing.
je suis content de vous voir. , i m glad to meet you.
je ne vous en emp che pas. , i m not stopping you.
je suis lectricien. , i am an electrician.
c est ma fille. , she is my daughter.
il est habitu voyager. , he s accustomed to traveling.
vous tes parfois si pu riles. , you are so childish sometimes.
tu es d ue n est ce pas? , you re disappointed aren t you?
vous tes charmantes. , you re charming.
tu es vraiment g niale. , you re really awesome.
je suis alit e. , i m in bed.
vous n en avez pas termin. , you re not finished.
je suis un touriste. , i m a tourist.
je suis un homme chang. , i m a changed man.
il fait partie de l quipe. , he is on the team.
je suis sid r. , i m flabbergasted.
je prendrais bien quelque chose de sucr l. , i m in the mood for something sweet.
j ai peur de te perdre. , i m afraid of losing you.
tu as peur pas vrai? , you re afraid aren t you?
vous n tes pas normale. , you re not normal.
il conna t le maire. , he is acquainted with the mayor.
je vais rentrer la maison demain. , i m going back home tomorrow.
je suis consciente de votre probl me. , i m aware of your problem.
il est ouvert et confiant. , he s open and trusting.
je suis ravi de vous rencontrer. , i m delighted to meet you.
tu es na ve. , you re naive.
il est tr s flexible. , he s very flexible.
elle est une personne tr s int ressante. , she s a very interesting person.
je vais aller faire une sieste. , i m going to go take a nap.
vous tes importantes. , you are important.
elle a chant d une belle voix. , she sang with a beautiful voice.
elle est tudiante. , she is a student.
il est frais moulu de l cole. , he s fresh out of college.
vous tes tr s avis s. , you re very wise.
j ai froid. , i am cold.
sans vous je ne suis rien. , i m nothing without you.
c est mon fr re. , he is my brother.
il est extr mement beau. , he is tremendously handsome.
vous gaspillez notre temps tous les deux. , you re wasting both of our time.
j ai tr s sommeil maintenant. , i m very sleepy now.
je suis l lue. , i am the chosen one.
tu veux juste para tre diplomate. , you re just being diplomatic.
tu vas te remettre. , you re going to be ok.
je ne suis pas content. , i m not happy.
vous tes trop tendus. , you re too tense.
tu es nouveau de retour. , you re back again.
je suis fascin. , i m fascinated.
je ne suis pas vraiment occup. , i m not really busy.
vous avez tellement de talent! , you re so talented.
je ne suis pas si mauvais. , i m not that bad.
vous tes tr s brave. , you re very brave.
t es un mec bien. , you are a good person.
je ne suis pas en mal d argent. , i m not pressed for money.
il est quelque peu jaloux. , he s a bit jealous.
je suis heureux de vous avoir invit s. , i m glad i invited you.
il est trop jeune pour boire. , he s too young to drink.
j ai honte. , i m ashamed.
il joue de la musique. , he is playing music.
vous tes suffisant. , you re conceited.
c est ma faute pas la tienne. , i m to blame not you.
ici je suis un tranger. , i am a stranger here.
il est incomp tent. , he is incompetent.
il t attend chez nous. , he s waiting for you at home.
je suis mi chemin de ce roman policier. , i m halfway through this crime novel.
vous tes tous moi. , you re all mine.
je ne suis plus sonn. , i m no longer groggy.
c est mon amie. , she s my friend.
j essaye d arr ter tom. , i m trying to stop tom.
il est toujours gentil envers les animaux. , he is always kind to animals.
je suis un gar on timide. , i am a shy boy.
vous d formez mes paroles. , you re twisting my words.
vous tes en s curit. , you re quite safe.
je suis en train de griller du poisson. , i am grilling fish.
je ne suis plus occup. , i m not busy anymore.
je suis d sol nous avons tout vendu. , i m sorry we re completely sold out.
il ne travaille pas beaucoup en ce moment. , he s not working much at the moment.
tu n es pas invit e. , you aren t invited.
il est en bonne condition physique. , he s in good physical condition.
c est une personne adorable. , he is a lovable person.
je commence avoir un peu sommeil. , i m beginning to feel a little sleepy.
elle cria. , she shrieked.
je joue un jeu t l vis. , i m playing a tv game.
je suis si puis! , i am so exhausted!
vous tes tr s ind licate. , you are very insensitive.
vous n tes pas vraiment millionnaire si? , you re not really a millionaire are you?
elle tudie plus que jamais. , she studies as hard as ever.
vous tes tr s effront e. , you re very forward.
je suis fort. , i m strong.
je suis un tel idiot. , i m such a fool.
vous tes tr s gentilles. , you re very nice.
tu n es plus le bienvenu chez moi. , you re no longer welcome in my house.
elle l a regard droit dans les yeux. , she stared him in the face.
je ne suis pas en col re! , i m not angry!
c est une gentille fille. , she is a very kind girl.
il crit son journal. , he s writing his diary.
je suis en quelque sorte extraverti. , i m sort of an extrovert.
je suis ravi que vous ayez soulev cela. , i m glad you brought that up.
vous tes invit e. , you re invited.
je suis affam et assoiff. , i m hungry and thirsty.
c est un tudiant de l universit. , he s a university student.
elle est belle et intelligente. , she s smart and beautiful.
tu es terriblement calme ce matin. , you re awfully quiet this morning.
vous tes c libataire. , you re single.
je me sens plut t fatigu. , i m feeling sort of tired.
je suis attentive. , i m attentive.
je suis musulman. , i am a muslim.
tu es fort courageux. , you re very brave.
je suis une citoyenne am ricaine. , i m an american citizen.
j essaie de dormir. , i m trying to sleep.
je suis de la c te est. , i m from the east coast.
c est ma s ur. , she s my sister.
je quitte le japon demain matin. , i am leaving japan tomorrow morning.
maintenant j ai des ennuis. , i m in trouble now.
je ne suis pas pr te. , i m not ready.
je suis ravie que tu aies soulev cela. , i m glad you brought that up.
je ne suis plus un enfant. , i m not a kid anymore.
je suis divorc. , i m divorced.
il n est pas idiot. , he is no fool.
vous n aidez pas. , you re not helping.
je suis plus intelligent que toi. , i m smarter than you.
vous ne coop rez pas. , you re not cooperating.
tu me rends dingue. , you re driving me nuts.
vous tes aux commandes maintenant. , you re in charge now.
je ne me dispute pas. , i m not arguing.
vous tes toutes licenci es. , you re all fired.
il est fianc ma s ur. , he is engaged to my sister.
tu d sob is aux ordres. , you re disobeying orders.
elle est gentille. , she is gentle.
je suis puni. , i m being punished.
tu es jalouse. , you re jealous.
il est responsable semble t il. , he is apparently responsible for it.
j ai la dalle. , i m starved.
je vais pargner plus d argent. , i m going to save more money.
elle fait un r gime. , she s dieting.
je ne suis pas aussi malin que toi. , i m not as smart as you.
elle est beaucoup plus lourde que lui. , she s much heavier than him.
tu fais une grosse erreur. , you re making a huge mistake.
elle est certaine de r ussir les examens. , she is certain to pass the exam.
vous tes justes. , you re fair.
je suis pr t y aller. , i m ready to go.
il est notre unique suspect. , he s our only suspect.
elle a besoin d aide. , she is in need of help.
tu es le prof de mon gamin. , you re my kid s teacher.
je ne suis pas fatigu du tout. , i m not tired at all.
je suis certain que tom pourrait le faire. , i m pretty sure tom could do that.
je suis compl tement essouffl. , i am completely out of breath.
je pends mes chemises. , i am hanging up my shirts.
je suis s rieuse. , i m being serious.
il est en danger grave. , he s in grave danger.
il est expert en litt rature fran aise. , he is well acquainted with french literature.
il a tout d un monsieur. , he is every inch a gentleman.
vous tes une survivante. , you re a survivor.
je ne suis pas encore fatigu e. , i m not tired yet.
je suis fier de vous les mecs. , i m proud of you guys.
j apprends conduire. , i m learning how to drive.
tu es trop jeune pour voyager seule. , you are too young to travel alone.
vous n tes pas si vieilles. , you re not that old.
il se m le toujours de notre conversation. , he s always breaking into our conversation.
c est un critique acerbe. , he is a harsh critic.
vous tes pr cis. , you re precise.
il est vraiment go ste. , he s really selfish.
tu es cern. , you re surrounded.
c est un planqu. , he s a slacker.
je suis votre m decin. , i m your doctor.
elle est chanceuse. , she is lucky.
vous tes une enfant talentueuse. , you re a talented kid.
vous tes une tra tresse. , you re a traitor.
vous en avez termin. , you re through.
je suis bien plus vieille que vous. , i m much older than you are.
il est capable de le faire. , he is capable of doing it.
vous tes tr s grossiers. , you re very rude.
j ai ans. , i m years old.
je suis de langue maternelle fran aise. , i m a native french speaker.
c est un homme honn te. , he is an honest man.
je suis un an plus jeune que tom. , i m a year younger than tom.
je lis un magazine. , i am reading a magazine.
je suis plus fort d sormais. , i m stronger now.
il craint d avoir un cancer du poumon. , he is afraid of getting lung cancer.
je suis celui qui a tu tom. , i m the one who killed tom.
il le fait comme il faut. , he s doing it right.
tu es vieux. , you re old.
tu as probablement tort. , you are probably wrong.
j en ai marre du poisson! , i m sick of fish.
je suis tr s content de te revoir. , i m very glad to see you again.
tu es un puritain. , you re a prude.
tu es contrari. , you re upset.
je suis en train de manger. , i m eating now.
tu vas beaucoup me manquer. , i m going to miss you a lot.
vous tes fiables. , you re reliable.
je ne suis pas alcoolique. , i m not an alcoholic.
je suis convaincu qu il est innocent. , i am convinced that he is innocent.
tu es tr s g n reux. , you re very generous.
elle a dit que cela pouvait tre vrai. , she said that it might be true.
je me marie cette ann e. , i m getting married this year.
je me r jouis de vous voir heureuses. , i m glad to see you re happy.
je suis retenue en otage. , i m being held hostage.
il n est pas fou. , he is no fool.
tu dis toujours cela. , you re always saying that.
vous commettez une grosse erreur. , you re making a big mistake.
je suis en bons termes avec lui. , i am on good terms with him.
tu es courageux. , you re courageous.
tu es mon meilleur ami. , you are my best friend.
d sol pourriez vous r p ter? , i m sorry could you say that again?
tu n es pas vir e. , you re not fired.
il est tr s malade. , he s very ill.
tu es l instituteur de mon enfant. , you re my kid s teacher.
vous tes plein de ressources. , you re very resourceful.
je suis en train de penser cette affaire. , i am thinking about that matter.
je suis vraiment occup. , i m really busy.
je cherche un travail mi temps. , i m looking for a part time job.
je ne suis pas ta bonne. , i m not your maid.
vous n tes pas rempla able. , you aren t replaceable.
il va tudier l anglais la semaine prochaine. , he is going to study english next week.
je suis plus que contente. , i m more than happy.
on n est jeune qu une fois. , you are only young once.
il aime la natation. , he is fond of swimming.
il est jeune. , he is young.
vous tes plus intelligents que moi. , you re smarter than me.
tu vas me manquer. , i m going to miss you.
vous vous trompez. , you re mistaken.
t es un chic type. , you are a good person.
je pr pare le th. , i m making tea.
tu n es pas autoris manger ceux ci. , you re not allowed to eat those.
il est toujours c libataire. , he s still single.
elle est tr s occup e. , she is very busy.
je m inqui te beaucoup de sa maladie. , i m very concerned about her illness.
vous tes toujours vivant. , you re still alive.
je suis aussi choqu e que vous. , i m as shocked as you are.
je ne suis pas pr t mourir. , i m not ready to die.
il n est pas la maison. , he isn t at home.
je suis actuellement au travail. , i m at work now.
je suis tr s endormi aujourd hui galement. , i m very sleepy today too.
je ne suis pas un expert. , i m no expert.
c est un homme jaloux. , he is a jealous man.
tu es l enseignant. , you re the teacher.
je me sens beaucoup mieux aujourd hui. , i m feeling much better today.
je suis certain qu il va venir. , i m sure he will come.
je m amuse vraiment. , i m actually enjoying myself.
il n est pas disponible. , he is not available.
je suis heureux de vous avoir engag s. , i m glad i hired you.
je suis habitu veiller tard. , i am accustomed to staying up late.
t es sympa. , you re cool.
la mauvaise personne c est moi. , i m the bad one.
il est jeune et en bonne sant. , he s young and healthy.
tu as de gros probl mes. , you re in big trouble.
j irai p cher avec lui. , i m going fishing with him.
elle est en col re apr s moi. , she is angry with me.
tu es gentille. , you re kind.
elle pr pare le d ner. , she is making dinner.
vous tes pleine de surprises. , you re full of surprises.
je s journe chez un ami. , i am staying with a friend.
vous tes juste l heure. , you re right on time.
tu es contrari e. , you re upset.
je suis contagieuse. , i m contagious.
tu es une disgr ce. , you re a disgrace.
tu es d go tante. , you re disgusting.
elle est tranquille. , she is quiet.
je suis si heureux. , i m so glad.
je ne suis pas convaincue. , i m unconvinced.
vous tes le chef. , you re the leader.
je suis professeur. , i am a professor.
je n en ai pas termin. , i m not finished.
je suis plus que content. , i m more than happy.
je suis la plus jeune enfant. , i m the youngest child.
il n est plus ce qu il tait. , he is not what he was.
je vais tre mari. , i m going to get married.
je suis en gr ve. , i m on strike.
tu es surqualifi e pour cet emploi. , you re overqualified for this job.
je vais faire des courses demain. , i m going shopping tomorrow.
tu es tellement idiote! , you re such an idiot!
je suis assez embrouill comme a. , i m confused enough as it is.
tu es incorrigible. , you re incorrigible.
vous tes cern es. , you re surrounded.
il est tokyo. , he is in tokyo.
je suis pr t partir maintenant. , i m ready to go now.
tu es confus. , you re confused.
c est un tudiant. , he is a student.
j ai bien peur qu il pleuve demain. , i m afraid it may rain tomorrow.
je ne vais pas m impliquer. , i am not getting involved.
je ne fais que commencer. , i m just beginning.
vous tes l lue. , you are the chosen one.
il est son ami. , he is her friend.
il n est vraiment pas fou. , he is not at all foolish.
tu es plus jolie que mary. , you re cuter than mary.
je suis ici pour vous aider. , i m here to help you.
je suis sur le point de quitter ici. , i am about to leave here.
elle est encore mineure. , she s still a minor.
je suis suffisamment fort. , i m strong enough.
vous n tes d aucune aide. , you re no help.
vous allez mourir. , you re going to die.
je viens d am rique. , i m from america.
tu m ennuies. , you re annoying.
c est une boule de nerfs. , he s a nervous wreck.
il parle couramment le fran ais. , he is fluent in french.
je suis toujours attach ce v lo. , i am still attached to this bicycle.
vous mentez n est ce pas? , you re lying aren t you?
je vais l abattre. , i m going to shoot him dead.
j en ai assez de l anglais. , i m fed up with english.
vous tes fort attirantes. , you re very attractive.
je suis le chirurgien. , i m the surgeon.
il craint de commettre des erreurs. , he is afraid of making mistakes.
tu es trop confiant. , you re too trusting.
je te suis reconnaissant pour ton aide. , i am grateful for your help.
je suis irrempla able. , i m irreplaceable.
je me r jouis que tout soit termin. , i m delighted that it s all over.
vous avez fini de travailler non? , you re done working aren t you?
je suis fatigu e de tout. , i m tired of everything.
je suis maintenant l a roport. , i m at the airport now.
vous tes plus intelligente que moi. , you re smarter than me.
tu es tr s curieux. , you re very curious.
je commence avoir sommeil. , i m getting sleepy.
je suis en quelque sorte fatigu e. , i m sort of tired.
j ai peur du noir. , i m afraid of the dark.
elle est encore mineure. , she is still a girl.
je suis un peu sceptique. , i m a little skeptical.
il est britannique. , he is british.
vous tes aveugl par l amour. , you are blinded by love.
je suis honn te avec vous. , i m being honest with you.
j ai encore soif. , i m still thirsty.
je suis intrigu e. , i m intrigued.
je suis enchant d tre ici. , i m delighted to be here.
je crains les animaux sauvages. , i m afraid of wild animals.
je suis volontaire. , i am a volunteer.
elle tala une belle nappe sur une table. , she spread a beautiful cloth on a table.
vous tes vraiment magnifique. , you re really gorgeous.
il est gaucher. , he s a southpaw.
vous tes tr s l gante. , you re very sophisticated.
vous tes matinal. , you are early.
je suis int ress par l histoire japonaise. , i am interested in japanese history.
elle a cinq ans. , she is five years old.
je ne suis qu un pauvre tudiant. , i m just a poor student.
je suis une actrice pas un mannequin. , i m an actress not a model.
il est auteur. , he s an author.
vous avez tous deux faux. , you are both in the wrong.
il est en faillite. , he is bankrupt.
vous avez de gros probl mes maintenant. , you re in big trouble now.
je suis effondr d entendre a. , i m very sorry to hear that.
quelle idiote vous tes! , you re such an idiot!
je suis fier de vous les gars. , i m proud of you guys.
t es plant e. , you re stuck.
il est capitaine de l quipe de football. , he is captain of the football team.
je me suis amend e. , i m reformed.
je suis puis. , i m exhausted.
vous tes redevable de la dette. , you are liable for the debt.
c est vraiment une fille adorable. , she is indeed a lovely girl.
je compte devenir ing nieur. , i am going to be an engineer.
il est trop confiant. , he s too trusting.
il est g n reux avec son argent. , he is generous with his money.
j ai le mal du pays. , i m homesick.
il va avoir une attaque cardiaque. , he s going to have a heart attack.
je ne suis pas ton professeur. , i m not your teacher.
vous tes fort solitaire. , you re very lonely.
vous tes presque aussi grand que tom. , you re almost as tall as tom.
tu es tr s curieuse. , you re very curious.
c est un bel homme. , he is a handsome man.
il est int ress par la musique. , he is interested in music.
vous n tes pas aussi petit que moi. , you aren t as short as i am.
il est non fumeur. , he s a nonsmoker.
je suis canadien moi aussi. , i m canadian too.
